id_penyumbang,makanan_disumbangkan,jumlah_disumbangkan,lokasi_lat_penyumbang,lokasi_lon_penyumbang,kondisi_makanan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_lat_penerima,lokasi_lon_penerima,frekuensi_menerima,kondisi_makanan_diterima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,status_penerima,matching_score
D68,makanan_minuman,21,-5.397554649384687,105.24483623289284,hampir_kadaluarsa,False,False,True,False,T81,minuman,25,-5.385611370230906,105.24602874642858,1,tidak_layak konsumsi,False,True,False,True,normal,0.5465
D31,makanan_minuman,28,-5.400815311027927,105.25148995166929,tidak_layak_konsumsi,True,True,False,False,T15,makanan,15,-5.380581031258931,105.2789232456178,10,hampir_kadaluarsa,False,True,True,False,tidak mendesak,0.40681818181818186
D2,makanan,8,-5.399151001784689,105.24778601033132,layak_konsumsi,True,False,True,False,T30,makanan_minuman,35,-5.401821902570533,105.25089057987516,9,tidak_layak konsumsi,True,True,True,False,tidak mendesak,0.5053571428571428
D47,minuman,44,-5.3828562016740245,105.25028093860752,layak_konsumsi,True,False,False,False,T28,makanan_minuman,37,-5.393149441660301,105.25792649238338,10,hampir_kadaluarsa,True,True,True,True,mendesak,0.8568181818181817
D68,makanan_minuman,21,-5.397554649384687,105.24483623289284,hampir_kadaluarsa,False,False,True,False,T35,makanan,7,-5.403418685394739,105.23045957440934,1,hampir_kadaluarsa,True,False,False,False,normal,0.6124999999999999
D49,makanan_minuman,6,-5.401737984588296,105.24357276315476,layak_konsumsi,True,False,False,False,T60,minuman,18,-5.396231541170549,105.23523512554382,7,hampir_kadaluarsa,True,False,False,True,tidak mendesak,0.5927083333333333
D13,minuman,17,-5.386299823444227,105.26379881661356,tidak_layak_konsumsi,False,False,True,True,T57,minuman,39,-5.371358177451811,105.2379364121958,9,hampir_kadaluarsa,False,True,True,True,mendesak,0.5260897435897436
D73,makanan,45,-5.399407663530504,105.2690081151535,hampir_kadaluarsa,True,True,False,False,T51,minuman,36,-5.374338085764345,105.28468646738956,6,hampir_kadaluarsa,False,False,True,True,tidak mendesak,0.5357142857142857
D84,minuman,7,-5.396959940732887,105.28989320008138,tidak_layak_konsumsi,True,True,False,False,T13,makanan,27,-5.403203353556323,105.26040644381716,5,layak_konsumsi_hampir_kadaluarsa,False,True,False,False,tidak mendesak,0.413425925925926
D80,makanan_minuman,14,-5.386937061229559,105.23782749317752,hampir_kadaluarsa,False,False,True,True,T52,minuman,47,-5.375894119619393,105.28468986906444,6,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,tidak mendesak,0.3155015197568389
D51,makanan_minuman,27,-5.382394894625796,105.24457559725164,hampir_kadaluarsa,True,False,True,False,T72,makanan,36,-5.368593638478763,105.2348610357526,7,tidak_layak konsumsi,False,True,True,True,mendesak,0.559375
D57,minuman,3,-5.3971102088604015,105.27718559657842,tidak_layak_konsumsi,False,True,False,False,T12,makanan,50,-5.388068736063081,105.25775482344024,2,layak_konsumsi,True,True,True,False,normal,0.256
D80,makanan_minuman,14,-5.386937061229559,105.23782749317752,hampir_kadaluarsa,False,False,True,True,T99,makanan,38,-5.394155064318565,105.2418673002478,9,layak_konsumsi,False,True,False,True,mendesak,0.4943421052631579
D49,makanan_minuman,6,-5.401737984588296,105.24357276315476,layak_konsumsi,True,False,False,False,T46,minuman,49,-5.4019639499640135,105.24466033546528,5,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,mendesak,0.6747448979591836
D92,minuman,42,-5.404217170644957,105.28421622459317,tidak_layak_konsumsi,True,False,False,True,T62,minuman,16,-5.370237522037654,105.25175008304672,10,layak_konsumsi,False,False,False,False,normal,0.6568181818181819
D63,makanan,46,-5.40127655596131,105.26470749761482,layak_konsumsi,False,False,True,True,T62,minuman,16,-5.370237522037654,105.25175008304672,10,layak_konsumsi,False,False,False,False,normal,0.5068181818181817
D97,makanan,48,-5.383527180051562,105.27624454696864,layak_konsumsi,True,True,False,True,T57,minuman,39,-5.371358177451811,105.2379364121958,9,hampir_kadaluarsa,False,True,True,True,mendesak,0.3825
D78,minuman,50,-5.398744706229384,105.2606756801194,layak_konsumsi,False,True,False,False,T78,makanan_minuman,32,-5.393063436518988,105.2388540721831,1,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,normal,0.6375
D68,makanan_minuman,21,-5.397554649384687,105.24483623289284,hampir_kadaluarsa,False,False,True,False,T1,makanan,1,-5.3864306019901065,105.26266063515553,5,layak_konsumsi,False,False,True,False,tidak mendesak,0.6624999999999999
D22,minuman,45,-5.380992845242162,105.27061104036004,hampir_kadaluarsa,False,False,False,False,T89,makanan,14,-5.399108023771207,105.27216958344378,4,layak_konsumsi_hampir_kadaluarsa,False,False,True,False,tidak mendesak,0.465
D70,minuman,16,-5.377834585492679,105.2725919346605,tidak_layak_konsumsi,True,True,True,True,T86,minuman,31,-5.386114849911168,105.27045945270868,5,tidak_layak konsumsi,True,False,False,False,normal,0.5891129032258065
D89,minuman,22,-5.403917274078296,105.23294425245292,hampir_kadaluarsa,False,True,True,False,T40,minuman,49,-5.40495278907557,105.2264579495666,5,tidak_layak konsumsi,True,False,False,False,tidak mendesak,0.4323979591836735
D20,makanan,43,-5.4031843110010485,105.25529859688586,hampir_kadaluarsa,True,True,False,True,T65,makanan_minuman,42,-5.4044392619929225,105.24243096894084,10,layak_konsumsi_hampir_kadaluarsa,True,True,True,True,tidak mendesak,0.5568181818181818
D36,makanan,13,-5.398680359449724,105.2689725805642,layak_konsumsi,False,False,True,False,T45,makanan,40,-5.380132933886118,105.23174945202544,7,layak_konsumsi_hampir_kadaluarsa,True,True,False,False,normal,0.466875
D35,makanan,34,-5.403297473756234,105.23044612604272,tidak_layak_konsumsi,True,True,True,True,T94,minuman,35,-5.374230515527416,105.22970759178568,7,hampir_kadaluarsa,False,False,False,True,mendesak,0.3815178571428572
D55,makanan,37,-5.40208077427616,105.27813779599056,layak_konsumsi,True,False,True,True,T80,makanan_minuman,34,-5.383450310730308,105.28377679760852,9,tidak_layak konsumsi,False,False,True,True,normal,0.6325
D54,minuman,10,-5.3980140447703855,105.255045658296,tidak_layak_konsumsi,True,True,True,True,T20,minuman,37,-5.369794990481451,105.28887759264008,4,layak_konsumsi_hampir_kadaluarsa,False,True,True,True,normal,0.492027027027027
D99,minuman,50,-5.388888571392728,105.2565906246676,hampir_kadaluarsa,True,False,False,True,T74,makanan_minuman,27,-5.365638660896078,105.23057151792226,4,hampir_kadaluarsa,True,False,False,True,mendesak,0.7649999999999999
D16,minuman,17,-5.391223769138686,105.2269277272507,tidak_layak_konsumsi,False,True,False,True,T38,makanan_minuman,30,-5.400514755724289,105.27579325008364,7,layak_konsumsi,False,True,False,True,mendesak,0.5660416666666667
D62,makanan,42,-5.392415036530002,105.28639845374046,hampir_kadaluarsa,False,True,True,False,T25,makanan_minuman,6,-5.371688281037655,105.24955254759531,1,layak_konsumsi,False,True,True,True,mendesak,0.8124999999999999
D90,makanan_minuman,8,-5.40338699814192,105.28115568575512,layak_konsumsi,False,False,True,True,T88,makanan_minuman,39,-5.405180281479233,105.23735188275133,4,tidak_layak konsumsi,True,True,False,False,mendesak,0.4355128205128206
D14,makanan_minuman,28,-5.388348704592493,105.2661298025372,tidak_layak_konsumsi,False,False,False,False,T19,makanan,19,-5.372220550592904,105.25794844155962,7,hampir_kadaluarsa,True,False,True,True,normal,0.43437500000000007
D46,makanan_minuman,41,-5.368215299718656,105.28004312055758,tidak_layak_konsumsi,False,False,True,True,T84,makanan,37,-5.372728857715112,105.24624318404956,2,tidak_layak konsumsi,False,False,False,False,mendesak,0.525
D53,minuman,3,-5.393267085884303,105.23614364347894,hampir_kadaluarsa,False,True,True,False,T4,makanan_minuman,15,-5.37023611446767,105.2656968734426,5,hampir_kadaluarsa,False,True,False,False,mendesak,0.6824999999999999
D85,minuman,3,-5.401472171853621,105.24867205428662,hampir_kadaluarsa,False,True,False,False,T81,minuman,25,-5.385611370230906,105.24602874642858,1,tidak_layak konsumsi,False,True,False,True,normal,0.6745
D49,makanan_minuman,6,-5.401737984588296,105.24357276315476,layak_konsumsi,True,False,False,False,T78,makanan_minuman,32,-5.393063436518988,105.2388540721831,1,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,normal,0.75625
D23,makanan,27,-5.385741810928777,105.29005658239758,tidak_layak_konsumsi,True,True,True,False,T85,minuman,19,-5.39779814491477,105.25857814062344,6,hampir_kadaluarsa,True,False,True,True,mendesak,0.41071428571428575
D66,minuman,25,-5.3894353167913644,105.24493687962172,hampir_kadaluarsa,False,False,False,True,T88,makanan_minuman,39,-5.405180281479233,105.23735188275133,4,tidak_layak konsumsi,True,True,False,False,mendesak,0.5541025641025641
D34,makanan,27,-5.398378554655068,105.26671657498574,hampir_kadaluarsa,False,False,True,True,T71,minuman,19,-5.37550673001975,105.27881923041603,8,hampir_kadaluarsa,True,False,True,True,tidak mendesak,0.43333333333333335
D88,minuman,20,-5.37448749225512,105.25348547433512,layak_konsumsi,True,False,True,True,T47,minuman,25,-5.403560282540464,105.2417630988575,5,layak_konsumsi_hampir_kadaluarsa,False,False,True,False,tidak mendesak,0.7424999999999999
D21,makanan,39,-5.402120468538793,105.24511549049598,layak_konsumsi,True,False,True,True,T44,makanan_minuman,10,-5.398236754579025,105.27665241846417,8,layak_konsumsi,True,False,False,False,tidak mendesak,0.6583333333333332
D26,makanan_minuman,15,-5.399292772609664,105.2839129167213,layak_konsumsi,False,False,False,True,T28,makanan_minuman,37,-5.393149441660301,105.25792649238338,10,hampir_kadaluarsa,True,True,True,True,mendesak,0.5973587223587223
D79,minuman,16,-5.38559871454733,105.26540929530356,layak_konsumsi,False,True,False,True,T42,minuman,2,-5.380736035100376,105.26898118993108,4,hampir_kadaluarsa,True,False,False,False,tidak mendesak,0.565
D9,makanan_minuman,27,-5.367461280082591,105.28626940342386,hampir_kadaluarsa,False,False,False,True,T6,makanan,27,-5.384695057715781,105.27026869812131,9,layak_konsumsi_hampir_kadaluarsa,True,False,False,False,tidak mendesak,0.5575
D25,minuman,20,-5.388062728710642,105.22635086184668,layak_konsumsi,True,False,True,True,T49,minuman,21,-5.401598958575674,105.27346986699298,1,layak_konsumsi,True,False,True,True,tidak mendesak,0.6827380952380951
D39,makanan,33,-5.378067550121775,105.23063545536463,tidak_layak_konsumsi,False,True,True,True,T54,minuman,2,-5.379657152373781,105.2698861008449,10,hampir_kadaluarsa,False,True,False,True,mendesak,0.3068181818181819
D54,minuman,10,-5.3980140447703855,105.255045658296,tidak_layak_konsumsi,True,True,True,True,T100,makanan_minuman,28,-5.403640622561667,105.229304709088,3,hampir_kadaluarsa,True,True,False,True,normal,0.47946428571428573
D67,makanan,14,-5.386661700060163,105.2676490933051,layak_konsumsi,True,False,True,True,T17,makanan_minuman,12,-5.405527194625631,105.27239815083271,2,layak_konsumsi,True,True,True,False,tidak mendesak,0.7499999999999999
D100,makanan,7,-5.371187460315454,105.22617257666164,hampir_kadaluarsa,False,True,False,False,T64,makanan_minuman,37,-5.395779385828287,105.28799481581346,1,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,tidak mendesak,0.4314189189189189
D99,minuman,50,-5.388888571392728,105.2565906246676,hampir_kadaluarsa,True,False,False,True,T4,makanan_minuman,15,-5.37023611446767,105.2656968734426,5,hampir_kadaluarsa,False,True,False,False,mendesak,0.8374999999999998
D40,makanan,34,-5.395931171726324,105.26870181419088,hampir_kadaluarsa,False,True,False,True,T76,makanan,15,-5.3723874300841725,105.28575491035448,4,layak_konsumsi,True,False,False,True,mendesak,0.565
D39,makanan,33,-5.378067550121775,105.23063545536463,tidak_layak_konsumsi,False,True,True,True,T3,minuman,46,-5.396494113812611,105.28577151227366,4,tidak_layak konsumsi,True,False,True,False,normal,0.23673913043478262
D14,makanan_minuman,28,-5.388348704592493,105.2661298025372,tidak_layak_konsumsi,False,False,False,False,T16,makanan,40,-5.380794750411897,105.28023092149604,8,tidak_layak konsumsi,True,True,True,False,normal,0.5033333333333333
D67,makanan,14,-5.386661700060163,105.2676490933051,layak_konsumsi,True,False,True,True,T28,makanan_minuman,37,-5.393149441660301,105.25792649238338,10,hampir_kadaluarsa,True,True,True,True,mendesak,0.5946560196560197
D66,minuman,25,-5.3894353167913644,105.24493687962172,hampir_kadaluarsa,False,False,False,True,T33,minuman,5,-5.374699957648608,105.2858724054971,4,layak_konsumsi,True,False,True,False,tidak mendesak,0.49
D99,minuman,50,-5.388888571392728,105.2565906246676,hampir_kadaluarsa,True,False,False,True,T58,makanan_minuman,21,-5.379274811167013,105.23196871701796,7,hampir_kadaluarsa,False,False,False,False,normal,0.8843749999999999
D85,minuman,3,-5.401472171853621,105.24867205428662,hampir_kadaluarsa,False,True,False,False,T67,makanan_minuman,42,-5.404514433154517,105.2350065524054,7,layak_konsumsi_hampir_kadaluarsa,False,False,False,False,mendesak,0.666517857142857
D22,minuman,45,-5.380992845242162,105.27061104036004,hampir_kadaluarsa,False,False,False,False,T75,makanan,5,-5.4048726380385705,105.23870134947607,2,tidak_layak konsumsi,False,False,True,True,mendesak,0.42500000000000004
D40,makanan,34,-5.395931171726324,105.26870181419088,hampir_kadaluarsa,False,True,False,True,T77,makanan,40,-5.395301399862481,105.23947093194286,9,layak_konsumsi_hampir_kadaluarsa,False,True,False,False,mendesak,0.8424999999999999
D27,makanan,20,-5.387715127469134,105.23190966528936,tidak_layak_konsumsi,False,False,True,False,T24,minuman,2,-5.38096342688741,105.26266242460684,3,layak_konsumsi,True,False,False,False,normal,0.34375
D20,makanan,43,-5.4031843110010485,105.25529859688586,hampir_kadaluarsa,True,True,False,True,T92,minuman,38,-5.395378305211837,105.27793105408936,3,hampir_kadaluarsa,True,False,True,True,tidak mendesak,0.44375
D70,minuman,16,-5.377834585492679,105.2725919346605,tidak_layak_konsumsi,True,True,True,True,T42,minuman,2,-5.380736035100376,105.26898118993108,4,hampir_kadaluarsa,True,False,False,False,tidak mendesak,0.59
D5,minuman,47,-5.375620858087632,105.27656171883736,layak_konsumsi,True,True,True,False,T54,minuman,2,-5.379657152373781,105.2698861008449,10,hampir_kadaluarsa,False,True,False,True,mendesak,0.7568181818181817
D83,makanan,41,-5.398179141501572,105.27542421108494,layak_konsumsi,False,True,True,False,T14,makanan_minuman,25,-5.405373580704513,105.2759378077154,7,tidak_layak konsumsi,True,False,False,True,tidak mendesak,0.48437500000000006
D39,makanan,33,-5.378067550121775,105.23063545536463,tidak_layak_konsumsi,False,True,True,True,T42,minuman,2,-5.380736035100376,105.26898118993108,4,hampir_kadaluarsa,True,False,False,False,tidak mendesak,0.21500000000000002
D7,minuman,23,-5.3960607791163255,105.22681368370942,tidak_layak_konsumsi,True,True,True,True,T53,makanan,29,-5.369571338716552,105.2525242039176,10,hampir_kadaluarsa,True,False,False,True,normal,0.23612852664576803
D86,minuman,29,-5.403491647960264,105.24392614492989,hampir_kadaluarsa,False,False,True,False,T82,minuman,49,-5.3902870497425495,105.22869194021575,8,layak_konsumsi,True,False,True,False,mendesak,0.717517006802721
D98,makanan_minuman,21,-5.40376088444008,105.2303859118412,tidak_layak_konsumsi,False,True,False,False,T19,makanan,19,-5.372220550592904,105.25794844155962,7,hampir_kadaluarsa,True,False,True,True,normal,0.35937500000000006
D35,makanan,34,-5.403297473756234,105.23044612604272,tidak_layak_konsumsi,True,True,True,True,T90,makanan,39,-5.390441613800905,105.27703301608744,7,tidak_layak konsumsi,False,False,False,True,normal,0.44655448717948726
D82,makanan_minuman,39,-5.38725927589944,105.27966483379274,layak_konsumsi,True,False,False,True,T51,minuman,36,-5.374338085764345,105.28468646738956,6,hampir_kadaluarsa,False,False,True,True,tidak mendesak,0.46071428571428574
D9,makanan_minuman,27,-5.367461280082591,105.28626940342386,hampir_kadaluarsa,False,False,False,True,T72,makanan,36,-5.368593638478763,105.2348610357526,7,tidak_layak konsumsi,False,True,True,True,mendesak,0.484375
D8,makanan,49,-5.370207732828833,105.25013599666508,hampir_kadaluarsa,False,True,True,False,T28,makanan_minuman,37,-5.393149441660301,105.25792649238338,10,hampir_kadaluarsa,True,True,True,True,mendesak,0.8318181818181817
D40,makanan,34,-5.395931171726324,105.26870181419088,hampir_kadaluarsa,False,True,False,True,T71,minuman,19,-5.37550673001975,105.27881923041603,8,hampir_kadaluarsa,True,False,True,True,tidak mendesak,0.33333333333333337
D91,minuman,4,-5.404453074353865,105.27149054799024,hampir_kadaluarsa,False,True,True,False,T98,makanan_minuman,7,-5.378248378692264,105.27908759930236,6,layak_konsumsi,False,True,True,True,mendesak,0.8178571428571427
D68,makanan_minuman,21,-5.397554649384687,105.24483623289284,hampir_kadaluarsa,False,False,True,False,T39,makanan,12,-5.389982896871855,105.24811384027576,8,hampir_kadaluarsa,False,True,False,False,tidak mendesak,0.6333333333333332
D17,makanan,9,-5.384198532612399,105.25365663337077,layak_konsumsi,True,True,False,False,T74,makanan_minuman,27,-5.365638660896078,105.23057151792226,4,hampir_kadaluarsa,True,False,False,True,mendesak,0.6983333333333333
D46,makanan_minuman,41,-5.368215299718656,105.28004312055758,tidak_layak_konsumsi,False,False,True,True,T61,makanan,24,-5.383732284836639,105.25163123860786,5,tidak_layak konsumsi,True,False,False,True,normal,0.2625
D52,makanan,16,-5.379820444309504,105.25504881866208,tidak_layak_konsumsi,True,True,True,False,T95,makanan_minuman,25,-5.400424486390704,105.28099722354634,7,hampir_kadaluarsa,True,True,False,False,tidak mendesak,0.473375
D44,minuman,31,-5.3994847090146125,105.2336404311752,hampir_kadaluarsa,False,True,False,False,T72,makanan,36,-5.368593638478763,105.2348610357526,7,tidak_layak konsumsi,False,True,True,True,mendesak,0.4704861111111111
D89,minuman,22,-5.403917274078296,105.23294425245292,hampir_kadaluarsa,False,True,True,False,T49,minuman,21,-5.401598958575674,105.27346986699298,1,layak_konsumsi,True,False,True,True,tidak mendesak,0.5125
D68,makanan_minuman,21,-5.397554649384687,105.24483623289284,hampir_kadaluarsa,False,False,True,False,T100,makanan_minuman,28,-5.403640622561667,105.229304709088,3,hampir_kadaluarsa,True,True,False,True,normal,0.6687500000000001
D84,minuman,7,-5.396959940732887,105.28989320008138,tidak_layak_konsumsi,True,True,False,False,T30,makanan_minuman,35,-5.401821902570533,105.25089057987516,9,tidak_layak konsumsi,True,True,True,False,tidak mendesak,0.42750000000000005
D40,makanan,34,-5.395931171726324,105.26870181419088,hampir_kadaluarsa,False,True,False,True,T19,makanan,19,-5.372220550592904,105.25794844155962,7,hampir_kadaluarsa,True,False,True,True,normal,0.5843749999999999
D91,minuman,4,-5.404453074353865,105.27149054799024,hampir_kadaluarsa,False,True,True,False,T36,makanan_minuman,6,-5.401535933637472,105.280817664295,8,layak_konsumsi_hampir_kadaluarsa,False,True,False,False,normal,0.6749999999999999
D55,makanan,37,-5.40208077427616,105.27813779599056,layak_konsumsi,True,False,True,True,T58,makanan_minuman,21,-5.379274811167013,105.23196871701796,7,hampir_kadaluarsa,False,False,False,False,normal,0.634375
D26,makanan_minuman,15,-5.399292772609664,105.2839129167213,layak_konsumsi,False,False,False,True,T83,makanan_minuman,37,-5.395735065850102,105.26762745154667,1,tidak_layak konsumsi,False,True,False,True,normal,0.5030405405405405
D51,makanan_minuman,27,-5.382394894625796,105.24457559725164,hampir_kadaluarsa,True,False,True,False,T56,minuman,31,-5.373461064830365,105.26966395429169,1,layak_konsumsi_hampir_kadaluarsa,True,False,False,False,mendesak,0.6745967741935482
D31,makanan_minuman,28,-5.400815311027927,105.25148995166929,tidak_layak_konsumsi,True,True,False,False,T79,makanan_minuman,48,-5.381030519656766,105.23681123025402,5,layak_konsumsi,True,True,False,True,mendesak,0.7458333333333332
D42,minuman,7,-5.386564767300895,105.25194956368269,layak_konsumsi,False,True,True,True,T64,makanan_minuman,37,-5.395779385828287,105.28799481581346,1,layak_konsumsi_hampir_kadaluarsa,True,True,True,False,tidak mendesak,0.5314189189189189
D32,minuman,2,-5.38963811796951,105.2506291638584,hampir_kadaluarsa,False,False,True,False,T3,minuman,46,-5.396494113812611,105.28577151227366,4,tidak_layak konsumsi,True,False,True,False,normal,0.4693478260869565
D80,makanan_minuman,14,-5.386937061229559,105.23782749317752,hampir_kadaluarsa,False,False,True,True,T65,makanan_minuman,42,-5.4044392619929225,105.24243096894084,10,layak_konsumsi_hampir_kadaluarsa,True,True,True,True,tidak mendesak,0.3901515151515152
D46,makanan_minuman,41,-5.368215299718656,105.28004312055758,tidak_layak_konsumsi,False,False,True,True,T66,makanan_minuman,28,-5.373646089250235,105.28563111028993,3,hampir_kadaluarsa,False,False,False,True,tidak mendesak,0.49375
D67,makanan,14,-5.386661700060163,105.2676490933051,layak_konsumsi,True,False,True,True,T27,minuman,2,-5.368871101874476,105.26069496524246,8,tidak_layak konsumsi,False,True,False,True,normal,0.33333333333333337
D65,makanan_minuman,17,-5.391563459299372,105.28195786868346,tidak_layak_konsumsi,False,False,True,True,T75,makanan,5,-5.4048726380385705,105.23870134947607,2,tidak_layak konsumsi,False,False,True,True,mendesak,0.525
D61,makanan_minuman,46,-5.378198995355426,105.23039652427006,layak_konsumsi,True,True,True,False,T4,makanan_minuman,15,-5.37023611446767,105.2656968734426,5,hampir_kadaluarsa,False,True,False,False,mendesak,0.6874999999999999
D100,makanan,7,-5.371187460315454,105.22617257666164,hampir_kadaluarsa,False,True,False,False,T49,minuman,21,-5.401598958575674,105.27346986699298,1,layak_konsumsi,True,False,True,True,tidak mendesak,0.24583333333333335
D70,minuman,16,-5.377834585492679,105.2725919346605,tidak_layak_konsumsi,True,True,True,True,T62,minuman,16,-5.370237522037654,105.25175008304672,10,layak_konsumsi,False,False,False,False,normal,0.6318181818181818
D50,minuman,1,-5.370598011128274,105.27555641055186,hampir_kadaluarsa,True,True,False,False,T84,makanan,37,-5.372728857715112,105.24624318404956,2,tidak_layak konsumsi,False,False,False,False,mendesak,0.40270270270270275
D31,makanan_minuman,28,-5.400815311027927,105.25148995166929,tidak_layak_konsumsi,True,True,False,False,T27,minuman,2,-5.368871101874476,105.26069496524246,8,tidak_layak konsumsi,False,True,False,True,normal,0.5583333333333333
D100,makanan,7,-5.371187460315454,105.22617257666164,hampir_kadaluarsa,False,True,False,False,T35,makanan,7,-5.403418685394739,105.23045957440934,1,hampir_kadaluarsa,True,False,False,False,normal,0.6375
D61,makanan_minuman,46,-5.378198995355426,105.23039652427006,layak_konsumsi,True,True,True,False,T83,makanan_minuman,37,-5.395735065850102,105.26762745154667,1,tidak_layak konsumsi,False,True,False,True,normal,0.5875
D10,makanan_minuman,39,-5.387884154741927,105.26111062883372,tidak_layak_konsumsi,True,False,False,False,T55,makanan,12,-5.388522386483765,105.27706277908672,8,layak_konsumsi_hampir_kadaluarsa,True,True,False,True,tidak mendesak,0.4833333333333334
D89,minuman,22,-5.403917274078296,105.23294425245292,hampir_kadaluarsa,False,True,True,False,T11,makanan,24,-5.382090652839067,105.28847287720164,3,hampir_kadaluarsa,True,False,True,False,mendesak,0.46041666666666664
