penerima_id,jenis_makanan_dibutuhkan,jumlah_dibutuhkan,lokasi_penerima,jumlah_diterima,makanan_layak_konsumsi,is_halal,is_for_child,is_for_elderly,is_alergan_free
R120,"['minuman', 'makanan']",1,"(-5.40918584608422, 105.29546490396638)",0,['hampir kadaluarsa'],False,False,False,False
R121,"['makanan', 'minuman']",9,"(-5.43590498509002, 105.28921689367004)",3,tidak layak konsumsi,False,False,False,False
R122,['minuman'],2,"(-5.42409932536727, 105.25462999277364)",3,tidak layak konsumsi,False,False,False,False
R123,['makanan'],4,"(-5.40133087998834, 105.28247576028141)",1,tidak layak konsumsi,False,False,False,False
R124,"['minuman', 'makanan']",4,"(-5.4194239646616, 105.30080232892895)",2,tidak layak konsumsi,False,False,False,False
R125,['minuman'],5,"(-5.39050765774429, 105.29411144095262)",2,tidak layak konsumsi,False,False,False,False
R126,['makanan'],9,"(-5.42582539869605, 105.30593571535171)",0,tidak layak konsumsi,False,False,False,False
R127,"['minuman', 'makanan']",9,"(-5.37604724845315, 105.2189565399088)",1,tidak layak konsumsi,False,False,False,False
R128,['makanan'],2,"(-5.4330167179319, 105.27305140741838)",2,"['hampir kadaluarsa', 'layak konsumsi']",True,False,False,False
R129,['minuman'],3,"(-5.39442627164063, 105.26429412478171)",5,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,False
R130,"['minuman', 'makanan']",7,"(-5.39431575477497, 105.30575721834803)",3,tidak layak konsumsi,False,False,False,False
R131,['makanan'],10,"(-5.39501231789754, 105.29358217497543)",1,['layak konsumsi'],True,False,True,True
R132,"['makanan', 'minuman']",1,"(-5.42562482112191, 105.21006915772193)",4,['layak konsumsi'],True,True,True,False
R133,['minuman'],7,"(-5.37993099735115, 105.2757334351271)",3,['layak konsumsi'],True,True,False,True
R134,"['makanan', 'minuman']",9,"(-5.39912942671677, 105.21242269971391)",5,tidak layak konsumsi,False,False,False,False
R135,['makanan'],7,"(-5.43694438275388, 105.29168938896652)",0,tidak layak konsumsi,False,False,False,False
R136,['minuman'],3,"(-5.42965050773405, 105.29015891358301)",5,tidak layak konsumsi,False,False,False,False
R137,"['minuman', 'makanan']",6,"(-5.3895610675696, 105.28426262110031)",2,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,True
R138,"['makanan', 'minuman']",4,"(-5.38207025333895, 105.25315252004708)",3,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,True
R139,['makanan'],2,"(-5.39019298691748, 105.2095088258246)",5,tidak layak konsumsi,False,False,False,False
R140,"['makanan', 'minuman']",2,"(-5.39660573744911, 105.28883508794928)",5,['hampir kadaluarsa'],False,False,True,False
R141,"['minuman', 'makanan']",8,"(-5.40801090195047, 105.24065253541106)",4,tidak layak konsumsi,False,False,False,False
R142,"['minuman', 'makanan']",4,"(-5.38133358544284, 105.25435426107347)",2,['hampir kadaluarsa'],False,False,True,True
R143,"['makanan', 'minuman']",10,"(-5.40726505391806, 105.26802568571073)",0,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,False
R144,['minuman'],2,"(-5.38760697961363, 105.28205768619999)",4,tidak layak konsumsi,False,False,False,False
R145,"['minuman', 'makanan']",3,"(-5.39029533710575, 105.26970321063871)",0,tidak layak konsumsi,False,False,False,False
R146,['makanan'],6,"(-5.39868297466891, 105.20844808487405)",5,['hampir kadaluarsa'],False,True,False,False
R147,"['minuman', 'makanan']",10,"(-5.39277061074567, 105.2143331471203)",4,"['hampir kadaluarsa', 'layak konsumsi']",False,False,False,False
R148,['minuman'],6,"(-5.39521949823266, 105.21817038944354)",4,tidak layak konsumsi,False,False,False,False
R149,"['minuman', 'makanan']",10,"(-5.39786365439577, 105.20889760655102)",0,tidak layak konsumsi,False,False,False,False
R150,"['minuman', 'makanan']",2,"(-5.40392885833135, 105.21832709694911)",3,['layak konsumsi'],False,False,False,True
R151,"['minuman', 'makanan']",7,"(-5.39813242297721, 105.24077720780967)",5,"['hampir kadaluarsa', 'layak konsumsi']",False,False,True,True
R152,['minuman'],8,"(-5.38775320353219, 105.2328822338675)",2,['hampir kadaluarsa'],False,False,True,True
R153,['minuman'],1,"(-5.39602060732247, 105.27015443522373)",0,['hampir kadaluarsa'],False,False,False,True
R154,"['makanan', 'minuman']",1,"(-5.40450187872815, 105.23098912693862)",4,"['hampir kadaluarsa', 'layak konsumsi']",False,False,False,True
R155,"['minuman', 'makanan']",7,"(-5.42893128817958, 105.2829936552565)",0,tidak layak konsumsi,False,False,False,False
R156,['minuman'],4,"(-5.37614543836424, 105.24896535293554)",0,tidak layak konsumsi,False,False,False,False
R157,['minuman'],6,"(-5.42568297388532, 105.22940912208905)",3,tidak layak konsumsi,False,False,False,False
R158,"['minuman', 'makanan']",7,"(-5.38800839317858, 105.28783325741897)",0,['hampir kadaluarsa'],False,False,False,True
R159,"['makanan', 'minuman']",1,"(-5.41519231266952, 105.21884652542727)",2,tidak layak konsumsi,False,False,False,False
R160,['makanan'],4,"(-5.3730410121189, 105.2860850360185)",3,tidak layak konsumsi,False,False,False,False
R161,['makanan'],3,"(-5.39511421282311, 105.26647307288222)",4,['layak konsumsi'],True,False,True,False
R162,['minuman'],4,"(-5.37688723181034, 105.23703996691702)",1,tidak layak konsumsi,False,False,False,False
R163,['minuman'],3,"(-5.4245132084092, 105.30131845493942)",4,tidak layak konsumsi,False,False,False,False
R164,['makanan'],3,"(-5.40100904184363, 105.26259524051268)",4,['layak konsumsi'],False,False,True,False
R165,"['makanan', 'minuman']",2,"(-5.43185722837731, 105.22549061510813)",3,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,True
R166,"['minuman', 'makanan']",10,"(-5.41442248343557, 105.21168778933678)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,False
R167,['makanan'],5,"(-5.37413226463308, 105.28834293959837)",4,tidak layak konsumsi,False,False,False,False
R168,['makanan'],9,"(-5.3795940348025, 105.29577599014648)",0,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,False
R169,"['makanan', 'minuman']",10,"(-5.38216906946792, 105.28246348886208)",0,['layak konsumsi'],True,True,False,False
R170,"['minuman', 'makanan']",5,"(-5.40797393671063, 105.31209092737049)",1,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,True
R171,['minuman'],6,"(-5.38927225487071, 105.29280910764098)",0,tidak layak konsumsi,False,False,False,False
R172,['makanan'],2,"(-5.40479145749534, 105.24207415258026)",0,['hampir kadaluarsa'],True,False,False,False
R173,['minuman'],2,"(-5.43194600245362, 105.28641320688261)",4,['hampir kadaluarsa'],False,True,False,False
R174,['minuman'],7,"(-5.40783136082076, 105.29577136064651)",1,['hampir kadaluarsa'],True,True,False,True
R175,"['makanan', 'minuman']",6,"(-5.40103935134334, 105.28294860680428)",4,tidak layak konsumsi,False,False,False,False
R176,"['minuman', 'makanan']",9,"(-5.37896177392043, 105.28702815660402)",3,tidak layak konsumsi,False,False,False,False
R177,['makanan'],10,"(-5.41411572761209, 105.24420551595522)",5,tidak layak konsumsi,False,False,False,False
R178,['makanan'],5,"(-5.37647741763452, 105.22130531194931)",4,tidak layak konsumsi,False,False,False,False
R179,['makanan'],7,"(-5.4300764077643, 105.29572622400333)",5,tidak layak konsumsi,False,False,False,False
R180,"['minuman', 'makanan']",10,"(-5.39681647795577, 105.29028643104884)",1,tidak layak konsumsi,False,False,False,False
R181,"['makanan', 'minuman']",2,"(-5.38613583825327, 105.2706027553556)",0,['layak konsumsi'],False,False,True,True
R182,['minuman'],2,"(-5.40415474869872, 105.25889175033832)",5,tidak layak konsumsi,False,False,False,False
R183,['minuman'],3,"(-5.43140648652865, 105.23879787941549)",2,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,False
R184,['minuman'],1,"(-5.42727408613131, 105.2588625627349)",3,tidak layak konsumsi,False,False,False,False
R185,['makanan'],7,"(-5.41207936112211, 105.25656444948423)",4,tidak layak konsumsi,False,False,False,False
R186,['minuman'],2,"(-5.39094494414016, 105.21033353030222)",4,"['hampir kadaluarsa', 'layak konsumsi']",False,True,True,False
R187,"['makanan', 'minuman']",4,"(-5.43581965543146, 105.30091111652862)",5,tidak layak konsumsi,False,False,False,False
R188,['minuman'],3,"(-5.38500014313205, 105.3043965634746)",5,"['hampir kadaluarsa', 'layak konsumsi']",False,True,True,False
R189,['minuman'],7,"(-5.42136463407527, 105.20898429769602)",4,tidak layak konsumsi,False,False,False,False
R190,['makanan'],6,"(-5.43240494861183, 105.29933250645534)",0,tidak layak konsumsi,False,False,False,False
R191,"['makanan', 'minuman']",4,"(-5.40527924191836, 105.22833801185709)",3,tidak layak konsumsi,False,False,False,False
R192,"['makanan', 'minuman']",2,"(-5.40187526711255, 105.22245692081026)",3,['layak konsumsi'],False,False,False,False
R193,['minuman'],6,"(-5.43274677407379, 105.218125697303)",4,tidak layak konsumsi,False,False,False,False
R194,"['minuman', 'makanan']",10,"(-5.41654407877902, 105.26205956464702)",2,tidak layak konsumsi,False,False,False,False
R195,['minuman'],1,"(-5.42243636539635, 105.29731969672443)",4,tidak layak konsumsi,False,False,False,False
R196,['minuman'],7,"(-5.3898585725068, 105.28960093161342)",2,"['hampir kadaluarsa', 'layak konsumsi']",True,True,True,True
R197,['minuman'],4,"(-5.42238761449306, 105.3129833055164)",1,"['layak konsumsi', 'hampir kadaluarsa']",False,True,False,True
R198,['makanan'],10,"(-5.38825465029639, 105.28154069815147)",4,['layak konsumsi'],True,True,False,True
R199,"['minuman', 'makanan']",8,"(-5.4254282718597, 105.24434827318746)",1,['hampir kadaluarsa'],True,True,False,True
R200,['makanan'],2,"(-5.38220935200812, 105.24942146460513)",1,tidak layak konsumsi,False,False,False,False
R201,['makanan'],4,"(-5.41393094521268, 105.2711195015229)",2,tidak layak konsumsi,False,False,False,False
R202,['minuman'],5,"(-5.38150963148032, 105.2922246255054)",0,['layak konsumsi'],False,False,False,True
R203,['minuman'],1,"(-5.41470213984613, 105.2249542261885)",4,"['layak konsumsi', 'hampir kadaluarsa']",True,False,False,True
R204,['makanan'],3,"(-5.39678774326688, 105.29006654731957)",4,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,True
R205,['minuman'],10,"(-5.41760015656675, 105.26409202459811)",1,['hampir kadaluarsa'],False,False,False,True
R206,['makanan'],1,"(-5.3774608190123, 105.30713010118289)",3,tidak layak konsumsi,False,False,False,False
R207,['minuman'],1,"(-5.41508917064851, 105.26262883178707)",1,"['layak konsumsi', 'hampir kadaluarsa']",True,True,False,True
R208,"['minuman', 'makanan']",10,"(-5.42275063783309, 105.23116874207616)",3,['layak konsumsi'],True,True,True,False
R209,['minuman'],3,"(-5.4023706564174, 105.22056704086137)",5,"['hampir kadaluarsa', 'layak konsumsi']",False,False,True,True
R210,['minuman'],8,"(-5.39452070436203, 105.2231435759875)",5,tidak layak konsumsi,False,False,False,False
R211,"['makanan', 'minuman']",5,"(-5.39077047899803, 105.21109285042533)",0,tidak layak konsumsi,False,False,False,False
R212,"['minuman', 'makanan']",7,"(-5.432881625469, 105.26687504755469)",4,"['layak konsumsi', 'hampir kadaluarsa']",True,True,False,False
R213,['makanan'],9,"(-5.39845277221945, 105.25838275423753)",3,"['layak konsumsi', 'hampir kadaluarsa']",True,True,False,False
R214,"['minuman', 'makanan']",2,"(-5.39141107185656, 105.26768875122808)",3,tidak layak konsumsi,False,False,False,False
R215,['minuman'],7,"(-5.40807150754823, 105.22667898941077)",4,"['layak konsumsi', 'hampir kadaluarsa']",True,False,True,True
R216,"['minuman', 'makanan']",6,"(-5.39762449790889, 105.27309840165634)",3,tidak layak konsumsi,False,False,False,False
R217,"['makanan', 'minuman']",9,"(-5.40813713759551, 105.30401669887355)",3,"['hampir kadaluarsa', 'layak konsumsi']",False,True,False,False
R218,['makanan'],2,"(-5.38441830293526, 105.29645182849201)",4,tidak layak konsumsi,False,False,False,False
R219,['makanan'],8,"(-5.38121944137556, 105.22839019843195)",1,"['hampir kadaluarsa', 'layak konsumsi']",True,False,False,True
R220,['makanan'],4,"(-5.38949261265041, 105.2089587278446)",0,"['layak konsumsi', 'hampir kadaluarsa']",False,False,False,False
R221,"['makanan', 'minuman']",10,"(-5.40658715292096, 105.26936582674607)",4,['hampir kadaluarsa'],False,False,False,True
R222,['makanan'],6,"(-5.4284839745681, 105.28949863241574)",4,['layak konsumsi'],False,False,True,True
R223,['minuman'],4,"(-5.38511438570644, 105.2751092518211)",5,tidak layak konsumsi,False,False,False,False
R224,"['makanan', 'minuman']",2,"(-5.43760200731648, 105.28535753392984)",2,tidak layak konsumsi,False,False,False,False
R225,['minuman'],10,"(-5.41882753127136, 105.27036479692818)",2,tidak layak konsumsi,False,False,False,False
R226,"['makanan', 'minuman']",4,"(-5.41158759022635, 105.25329926091125)",2,tidak layak konsumsi,False,False,False,False
R227,"['minuman', 'makanan']",4,"(-5.40938562048183, 105.26981014210145)",0,tidak layak konsumsi,False,False,False,False
R228,['minuman'],2,"(-5.40192704150406, 105.21761863995383)",2,"['hampir kadaluarsa', 'layak konsumsi']",True,False,False,False
R229,['minuman'],9,"(-5.4162337788608, 105.22779803201283)",1,"['hampir kadaluarsa', 'layak konsumsi']",True,False,True,True
R230,"['minuman', 'makanan']",9,"(-5.40994325583603, 105.27945886230539)",0,['layak konsumsi'],False,True,False,True
