donor_id,jenis_makanan,jumlah_makanan,lokasi_donor,makanan_layak_konsumsi,is_halal,is_for_child,is_for_elderly,is_alergan
D32,['makanan'],2,"(-5.37738115553355, 105.26580907950996)",tidak layak konsumsi,False,False,False,False
D33,"['minuman', 'makanan']",10,"(-5.42937944703091, 105.27761208980337)",hampir kadaluarsa,True,False,False,False
D34,"['minuman', 'makanan']",8,"(-5.4362894395233, 105.22521581358536)",hampir kadaluarsa,False,False,False,True
D35,"['makanan', 'minuman']",3,"(-5.4087818435894, 105.24578783288537)",hampir kadaluarsa,True,False,True,False
D36,"['makanan', 'minuman']",8,"(-5.39406263178616, 105.27691595701613)",hampir kadaluarsa,True,False,True,True
D37,['makanan'],4,"(-5.40697214861816, 105.2380878460843)",hampir kadaluarsa,True,False,True,False
D38,"['makanan', 'minuman']",4,"(-5.39565433603944, 105.26138227827983)",hampir kadaluarsa,True,False,False,True
D39,['minuman'],10,"(-5.3815040978868, 105.28456510978418)",layak konsumsi,True,False,False,False
D40,['minuman'],6,"(-5.43284270368672, 105.29928347267514)",tidak layak konsumsi,True,True,False,False
D41,"['makanan', 'minuman']",4,"(-5.39822769411632, 105.25997019038287)",tidak layak konsumsi,True,False,False,False
D42,"['makanan', 'minuman']",4,"(-5.42802890526284, 105.21717685881573)",layak konsumsi,False,True,False,False
D43,['makanan'],4,"(-5.40936294151869, 105.24612729874724)",layak konsumsi,False,True,False,False
D44,['makanan'],8,"(-5.42419532028339, 105.21406888622673)",layak konsumsi,True,True,False,False
D45,"['minuman', 'makanan']",3,"(-5.43551676543802, 105.27462259577037)",hampir kadaluarsa,True,True,True,False
D46,['makanan'],8,"(-5.42054772917725, 105.31067804071063)",hampir kadaluarsa,True,False,True,True
D47,"['makanan', 'minuman']",2,"(-5.41151398559909, 105.25424862649601)",tidak layak konsumsi,False,True,False,True
D48,['makanan'],7,"(-5.41243184602631, 105.29621357675595)",hampir kadaluarsa,False,True,False,False
D49,"['makanan', 'minuman']",6,"(-5.42310611214088, 105.24722413728678)",hampir kadaluarsa,False,True,False,True
D50,"['makanan', 'minuman']",10,"(-5.42865008457876, 105.22543849561336)",tidak layak konsumsi,False,True,False,True
D51,"['makanan', 'minuman']",8,"(-5.3953148192446, 105.23469540382635)",hampir kadaluarsa,False,True,False,False
D52,"['makanan', 'minuman']",9,"(-5.41528403404822, 105.25861380259681)",layak konsumsi,False,False,False,True
D53,['makanan'],1,"(-5.420264957114, 105.27250751549398)",layak konsumsi,True,False,True,True
D54,['makanan'],4,"(-5.38028418314985, 105.30397705991841)",layak konsumsi,False,True,True,True
D55,['minuman'],5,"(-5.40787292390975, 105.2232761194672)",layak konsumsi,True,False,True,True
D56,['makanan'],2,"(-5.42067685780052, 105.23821980823575)",layak konsumsi,True,False,False,True
D57,['minuman'],3,"(-5.38723206311991, 105.26392141192625)",hampir kadaluarsa,False,True,True,False
D58,"['minuman', 'makanan']",6,"(-5.38682751038072, 105.2394149822178)",tidak layak konsumsi,True,True,False,True
D59,['makanan'],6,"(-5.37749665592035, 105.25722805416437)",tidak layak konsumsi,False,True,False,True
D60,['makanan'],10,"(-5.40376815198827, 105.23206085840752)",tidak layak konsumsi,False,True,False,True
D61,"['minuman', 'makanan']",8,"(-5.4001653396724, 105.25921109753908)",tidak layak konsumsi,True,True,True,False
D62,"['makanan', 'minuman']",7,"(-5.41926448558354, 105.26462762991147)",hampir kadaluarsa,False,False,False,True
D63,"['minuman', 'makanan']",4,"(-5.41317082782809, 105.27369235875874)",layak konsumsi,True,True,True,False
D64,['makanan'],9,"(-5.37992184740473, 105.2325528106332)",layak konsumsi,True,True,False,False
D65,"['makanan', 'minuman']",2,"(-5.41529066269278, 105.27980507719674)",tidak layak konsumsi,True,True,True,False
D66,"['minuman', 'makanan']",6,"(-5.40025100774824, 105.27373537584583)",hampir kadaluarsa,True,False,True,True
D67,"['makanan', 'minuman']",9,"(-5.38916966325113, 105.3112263434914)",layak konsumsi,True,False,False,False
D68,"['minuman', 'makanan']",7,"(-5.43882531957057, 105.29500433644354)",layak konsumsi,True,False,True,False
D69,"['minuman', 'makanan']",6,"(-5.39174019681121, 105.21217626817013)",hampir kadaluarsa,True,False,True,True
D70,['makanan'],8,"(-5.37287875231732, 105.31073371841462)",tidak layak konsumsi,False,True,True,False
D71,"['makanan', 'minuman']",7,"(-5.38516211660829, 105.31036441364894)",tidak layak konsumsi,False,False,True,True
D72,['minuman'],5,"(-5.41786092487332, 105.26195517183265)",tidak layak konsumsi,True,False,False,True
D73,['makanan'],9,"(-5.42324766022039, 105.27417053527873)",hampir kadaluarsa,False,True,True,False
D74,['minuman'],4,"(-5.43852069553612, 105.22406788195029)",hampir kadaluarsa,False,False,True,True
D75,['minuman'],7,"(-5.38626218195493, 105.24097906797618)",tidak layak konsumsi,True,False,False,False
D76,['makanan'],6,"(-5.39518214914046, 105.21346153942123)",tidak layak konsumsi,True,True,False,False
D77,"['minuman', 'makanan']",5,"(-5.38796587001247, 105.30224141570986)",layak konsumsi,True,True,True,True
D78,"['minuman', 'makanan']",2,"(-5.40587235626221, 105.24032721885314)",layak konsumsi,True,False,False,True
D79,['minuman'],6,"(-5.42296930937479, 105.28362629029309)",layak konsumsi,True,False,True,True
D80,"['minuman', 'makanan']",1,"(-5.4077935772669, 105.22030532907027)",tidak layak konsumsi,True,False,False,False
D81,['minuman'],4,"(-5.38612135050466, 105.21604321594556)",hampir kadaluarsa,True,False,True,False
D82,['makanan'],7,"(-5.42593722703517, 105.24649102624768)",layak konsumsi,True,False,True,True
D83,['minuman'],8,"(-5.42059494147782, 105.22326951222796)",tidak layak konsumsi,False,True,True,False
D84,['makanan'],1,"(-5.37400662351904, 105.22686836769482)",tidak layak konsumsi,True,True,False,True
D85,['minuman'],10,"(-5.4323069869099, 105.3074712839346)",hampir kadaluarsa,False,False,True,True
D86,['minuman'],10,"(-5.42962672839597, 105.28508313029538)",hampir kadaluarsa,True,False,True,True
D87,"['makanan', 'minuman']",7,"(-5.40103245998729, 105.30957918474513)",tidak layak konsumsi,True,False,True,True
D88,"['minuman', 'makanan']",3,"(-5.37549813206257, 105.29685595148753)",tidak layak konsumsi,True,True,False,False
D89,"['minuman', 'makanan']",4,"(-5.40786806231653, 105.28184834083875)",layak konsumsi,False,True,False,True
D90,['minuman'],2,"(-5.42421984001431, 105.24954272721305)",tidak layak konsumsi,False,True,True,False
D91,"['makanan', 'minuman']",8,"(-5.40069034460367, 105.27335581403145)",hampir kadaluarsa,True,True,True,False
D92,"['makanan', 'minuman']",9,"(-5.40009621548166, 105.25700446158687)",hampir kadaluarsa,True,True,True,True
D93,['minuman'],6,"(-5.39607313961757, 105.23442022713431)",layak konsumsi,True,True,False,True
D94,['makanan'],6,"(-5.41773490788522, 105.24353971521593)",layak konsumsi,False,True,False,False
D95,"['minuman', 'makanan']",7,"(-5.38543876976124, 105.30051313616863)",tidak layak konsumsi,False,False,True,False
D96,"['minuman', 'makanan']",2,"(-5.38278215785107, 105.23302550574248)",tidak layak konsumsi,True,True,True,True
D97,"['minuman', 'makanan']",1,"(-5.43765937676242, 105.28471557666343)",layak konsumsi,False,True,False,False
D98,"['minuman', 'makanan']",2,"(-5.39669463660819, 105.22680095538522)",tidak layak konsumsi,True,True,False,True
D99,['minuman'],9,"(-5.38815358679779, 105.29114052758098)",layak konsumsi,False,True,True,True
D100,['minuman'],7,"(-5.42502944115086, 105.28371321330687)",tidak layak konsumsi,True,True,False,False
D101,['minuman'],1,"(-5.37320500836952, 105.23813920134688)",tidak layak konsumsi,True,True,True,False
D102,"['minuman', 'makanan']",5,"(-5.37482032470017, 105.29256308306142)",tidak layak konsumsi,True,True,False,True
D103,['makanan'],10,"(-5.41829120042044, 105.26569782311151)",hampir kadaluarsa,True,True,False,False
D104,['makanan'],2,"(-5.41477069055758, 105.23184920866123)",tidak layak konsumsi,False,True,False,False
D105,"['makanan', 'minuman']",10,"(-5.42916932852392, 105.26486166637504)",layak konsumsi,True,True,True,True
D106,['minuman'],2,"(-5.39589724852991, 105.23833751488804)",hampir kadaluarsa,False,False,False,False
D107,['makanan'],6,"(-5.43588337883163, 105.26049419713114)",tidak layak konsumsi,True,True,False,True
D108,"['makanan', 'minuman']",10,"(-5.41278792036357, 105.29422517126442)",tidak layak konsumsi,False,True,True,False
D109,['makanan'],3,"(-5.37341986372768, 105.21142900120508)",tidak layak konsumsi,False,False,True,True
D110,"['makanan', 'minuman']",8,"(-5.42086306909697, 105.26753997898199)",tidak layak konsumsi,True,True,True,True
D111,['minuman'],2,"(-5.42765095958148, 105.3139271583227)",tidak layak konsumsi,True,True,True,False
D112,"['makanan', 'minuman']",1,"(-5.38472438479399, 105.2188331450012)",hampir kadaluarsa,True,True,False,False
D113,['makanan'],9,"(-5.43508016112963, 105.22234276096428)",tidak layak konsumsi,False,False,False,True
D114,['minuman'],2,"(-5.38832814786524, 105.24861645591405)",hampir kadaluarsa,True,False,True,True
D115,"['minuman', 'makanan']",9,"(-5.40880206286601, 105.2335862117866)",hampir kadaluarsa,False,False,True,True
D116,"['makanan', 'minuman']",1,"(-5.38382205606484, 105.21861881850981)",layak konsumsi,False,False,True,False
D117,"['makanan', 'minuman']",1,"(-5.42744628222958, 105.30226792918701)",layak konsumsi,False,True,False,False
D118,['minuman'],9,"(-5.40683767082493, 105.21819989260351)",hampir kadaluarsa,True,True,True,True
D119,"['minuman', 'makanan']",4,"(-5.38493658210794, 105.21049561708105)",tidak layak konsumsi,False,True,True,False
D120,"['makanan', 'minuman']",6,"(-5.37795550777009, 105.24759035418835)",tidak layak konsumsi,True,True,False,False
D121,['minuman'],7,"(-5.37626240133842, 105.29674428111583)",hampir kadaluarsa,True,False,False,True
D122,"['minuman', 'makanan']",7,"(-5.38582662806568, 105.29364788810608)",tidak layak konsumsi,True,True,False,False
D123,['minuman'],3,"(-5.41360269281016, 105.23547484413763)",tidak layak konsumsi,False,False,True,True
D124,['makanan'],10,"(-5.4355477398581, 105.25574502730151)",hampir kadaluarsa,False,True,False,True
D125,['minuman'],3,"(-5.43174538289103, 105.21061594221295)",layak konsumsi,True,True,False,True
D126,"['minuman', 'makanan']",10,"(-5.42252390467543, 105.22452659146039)",hampir kadaluarsa,True,False,True,False
D127,['makanan'],1,"(-5.43084365184729, 105.29967411580667)",hampir kadaluarsa,False,True,False,False
D128,"['minuman', 'makanan']",3,"(-5.43710148247455, 105.25971791573485)",hampir kadaluarsa,False,True,False,False
D129,"['makanan', 'minuman']",2,"(-5.41738455335439, 105.2275166016322)",hampir kadaluarsa,True,False,False,False
D130,"['makanan', 'minuman']",3,"(-5.39484204813815, 105.2791687442475)",hampir kadaluarsa,True,True,True,True
D131,"['minuman', 'makanan']",7,"(-5.38736809262193, 105.31140473245755)",hampir kadaluarsa,True,False,True,False
D132,"['makanan', 'minuman']",3,"(-5.4163606056816, 105.26119589621784)",layak konsumsi,False,True,False,False
D133,['makanan'],5,"(-5.43690138314955, 105.24418513909903)",hampir kadaluarsa,False,True,False,False
D134,"['makanan', 'minuman']",2,"(-5.42637448243948, 105.27430881888064)",layak konsumsi,False,False,False,True
D135,"['minuman', 'makanan']",1,"(-5.37635383810381, 105.23101752970085)",layak konsumsi,False,True,False,True
D136,"['minuman', 'makanan']",4,"(-5.38788834007193, 105.23979945586852)",tidak layak konsumsi,True,False,False,False
D137,['minuman'],4,"(-5.4013761491996, 105.27200944071784)",tidak layak konsumsi,True,True,False,True
D138,"['minuman', 'makanan']",2,"(-5.41944034793476, 105.30732889013785)",layak konsumsi,False,False,False,True
D139,['minuman'],4,"(-5.3920071330026, 105.24973725631415)",tidak layak konsumsi,True,False,True,False
D140,"['minuman', 'makanan']",10,"(-5.38692790566619, 105.3135257894155)",tidak layak konsumsi,False,True,True,False
D141,['makanan'],6,"(-5.41242633193088, 105.28405419593042)",tidak layak konsumsi,False,False,False,True
D142,"['minuman', 'makanan']",2,"(-5.41598064211831, 105.28998043189603)",layak konsumsi,False,True,True,False
D143,['minuman'],5,"(-5.37943929859603, 105.2245753562947)",hampir kadaluarsa,True,True,False,True
D144,['minuman'],1,"(-5.38577196263801, 105.29415507518479)",tidak layak konsumsi,False,True,False,False
D145,['makanan'],1,"(-5.42573965890381, 105.2421376740429)",hampir kadaluarsa,False,False,False,True
D146,"['minuman', 'makanan']",8,"(-5.3913603340203, 105.22391988292594)",tidak layak konsumsi,True,False,False,False
D147,"['makanan', 'minuman']",9,"(-5.37389742256212, 105.23473922938219)",tidak layak konsumsi,True,False,True,False
D148,['minuman'],10,"(-5.38245959051797, 105.2297236014222)",tidak layak konsumsi,True,False,False,False
D149,['makanan'],2,"(-5.41561937801118, 105.21324824033243)",layak konsumsi,False,True,False,False
D150,['makanan'],10,"(-5.41184513861628, 105.21896525625183)",hampir kadaluarsa,True,True,True,True
D151,['makanan'],6,"(-5.37536513254703, 105.30908231583066)",tidak layak konsumsi,True,True,False,True
D152,['makanan'],2,"(-5.42170123870712, 105.2982511001223)",tidak layak konsumsi,True,True,True,True
D153,"['makanan', 'minuman']",5,"(-5.39724062873227, 105.30789997813825)",layak konsumsi,False,True,False,True
D154,"['minuman', 'makanan']",10,"(-5.38671579501767, 105.29451127565066)",tidak layak konsumsi,True,True,False,False
D155,['makanan'],9,"(-5.4354809739389, 105.30502109585717)",hampir kadaluarsa,True,True,True,False
D156,['makanan'],10,"(-5.38872980980038, 105.27011815320662)",hampir kadaluarsa,False,False,False,False
D157,['makanan'],8,"(-5.38728634715166, 105.2993757114784)",layak konsumsi,True,True,True,True
D158,"['minuman', 'makanan']",10,"(-5.42056029133638, 105.23797134446401)",tidak layak konsumsi,True,True,True,False
D159,"['minuman', 'makanan']",9,"(-5.374112198396, 105.3017956798168)",layak konsumsi,False,True,True,True
D160,"['minuman', 'makanan']",3,"(-5.42071885270451, 105.21691680043516)",hampir kadaluarsa,True,False,True,True
D161,['minuman'],9,"(-5.39443463631862, 105.2466427665793)",hampir kadaluarsa,False,False,False,False
D162,['minuman'],1,"(-5.38373933096915, 105.22518500880359)",layak konsumsi,True,False,False,True
D163,['makanan'],7,"(-5.39758837567837, 105.28389498510617)",layak konsumsi,False,True,True,False
D164,"['minuman', 'makanan']",5,"(-5.4304169914874, 105.27683435799877)",hampir kadaluarsa,False,True,True,False
D165,"['makanan', 'minuman']",5,"(-5.42763858938606, 105.28840805663879)",layak konsumsi,True,False,False,True
D166,"['minuman', 'makanan']",10,"(-5.39325935620032, 105.20955261903435)",layak konsumsi,True,False,False,True
D167,['minuman'],5,"(-5.38525549685369, 105.31206315802548)",tidak layak konsumsi,False,True,True,True
D168,['minuman'],4,"(-5.40060752879539, 105.27354313644588)",layak konsumsi,True,False,False,True
D169,['minuman'],9,"(-5.38692764694385, 105.23139788217077)",tidak layak konsumsi,False,False,False,True
D170,['makanan'],8,"(-5.43408777403132, 105.27160326738687)",tidak layak konsumsi,True,True,True,False
D171,['minuman'],3,"(-5.39297765617842, 105.23305862010916)",tidak layak konsumsi,True,False,True,True
D172,['makanan'],3,"(-5.39728399690002, 105.29216644137944)",hampir kadaluarsa,True,True,True,False
D173,"['makanan', 'minuman']",2,"(-5.42122038606168, 105.25709893035253)",hampir kadaluarsa,True,False,True,False
D174,"['minuman', 'makanan']",3,"(-5.41243063428855, 105.21762747726645)",hampir kadaluarsa,False,False,True,True
D175,['minuman'],4,"(-5.37785332571563, 105.28042314855209)",layak konsumsi,True,False,False,False
D176,"['makanan', 'minuman']",6,"(-5.39033292774239, 105.22918626462483)",hampir kadaluarsa,True,False,True,True
D177,"['minuman', 'makanan']",8,"(-5.42177269645396, 105.30685832179105)",layak konsumsi,False,False,False,True
D178,['minuman'],9,"(-5.42126565536767, 105.24063089585046)",tidak layak konsumsi,False,False,False,False
D179,['makanan'],3,"(-5.42251838428164, 105.29303393894139)",layak konsumsi,True,False,True,False
D180,"['makanan', 'minuman']",5,"(-5.3838629348817, 105.22355894704316)",hampir kadaluarsa,False,True,False,True
D181,['makanan'],6,"(-5.38269299075051, 105.24902099214961)",tidak layak konsumsi,False,True,False,False
D182,"['minuman', 'makanan']",3,"(-5.3998636148786, 105.26291282074963)",tidak layak konsumsi,False,False,False,False
D183,"['makanan', 'minuman']",6,"(-5.37411878238679, 105.24188872116129)",tidak layak konsumsi,True,False,True,False
D184,['minuman'],1,"(-5.4193496538303, 105.21694496967353)",tidak layak konsumsi,True,False,True,True
D185,['makanan'],2,"(-5.38577712262776, 105.26535976428876)",layak konsumsi,False,True,True,False
D186,"['minuman', 'makanan']",1,"(-5.42527953330487, 105.2758869393347)",layak konsumsi,True,False,False,False
D187,"['minuman', 'makanan']",8,"(-5.38103048293859, 105.28979293753302)",layak konsumsi,False,False,False,True
D188,['minuman'],6,"(-5.4198838022447, 105.21067126914542)",hampir kadaluarsa,False,True,False,False
D189,"['minuman', 'makanan']",2,"(-5.38918656419114, 105.29194059175956)",tidak layak konsumsi,False,True,True,True
D190,['makanan'],1,"(-5.39261351128702, 105.24703113118686)",hampir kadaluarsa,False,True,False,True
D191,"['makanan', 'minuman']",5,"(-5.39025877285864, 105.30541279109579)",tidak layak konsumsi,False,True,False,False
D192,"['minuman', 'makanan']",1,"(-5.38644778348446, 105.23420071342066)",tidak layak konsumsi,True,True,True,False
D193,"['minuman', 'makanan']",3,"(-5.37530337556065, 105.28144935706602)",hampir kadaluarsa,True,True,False,False
D194,['makanan'],6,"(-5.40135561887348, 105.25082454088114)",hampir kadaluarsa,True,True,False,False
D195,"['minuman', 'makanan']",7,"(-5.38092060932228, 105.21078315654125)",hampir kadaluarsa,False,True,True,True
D196,['makanan'],6,"(-5.38779498338698, 105.29306084132608)",layak konsumsi,False,True,True,False
D197,"['minuman', 'makanan']",2,"(-5.38053978157216, 105.23219257810982)",layak konsumsi,False,True,False,True
D198,"['makanan', 'minuman']",1,"(-5.38609693988447, 105.23913090760648)",hampir kadaluarsa,True,False,False,False
D199,['makanan'],7,"(-5.39768113842939, 105.26597974341792)",layak konsumsi,False,False,True,True
D200,"['makanan', 'minuman']",8,"(-5.37736502178306, 105.3016727507442)",layak konsumsi,True,False,True,False
D201,['makanan'],6,"(-5.38644414144508, 105.20954455423927)",tidak layak konsumsi,True,True,False,True
D202,"['makanan', 'minuman']",10,"(-5.3894555138405, 105.29522852883304)",hampir kadaluarsa,False,False,True,False
D203,"['makanan', 'minuman']",1,"(-5.39334832030482, 105.2432090822832)",hampir kadaluarsa,False,True,False,True
D204,['minuman'],4,"(-5.41283157657853, 105.27410518980541)",hampir kadaluarsa,True,False,False,False
D205,['minuman'],4,"(-5.39494394389937, 105.30436938059854)",layak konsumsi,True,False,False,True
D206,"['minuman', 'makanan']",1,"(-5.38729945422152, 105.26610585340275)",tidak layak konsumsi,True,False,True,True
D207,['minuman'],2,"(-5.42401582096194, 105.26988762562524)",hampir kadaluarsa,False,False,True,True
D208,['minuman'],5,"(-5.39743613431372, 105.22689538763548)",layak konsumsi,True,True,True,True
D209,['makanan'],1,"(-5.4224036556744, 105.27533361480141)",tidak layak konsumsi,False,True,True,False
D210,"['makanan', 'minuman']",1,"(-5.38617143889984, 105.27831086919547)",layak konsumsi,True,True,True,True
D211,"['minuman', 'makanan']",7,"(-5.38459061106117, 105.28497800787852)",tidak layak konsumsi,False,True,False,False
D212,"['makanan', 'minuman']",9,"(-5.37975260412174, 105.23631822454847)",hampir kadaluarsa,False,True,True,False
D213,"['makanan', 'minuman']",2,"(-5.42737655705205, 105.30872875855133)",layak konsumsi,False,False,False,True
D214,"['makanan', 'minuman']",7,"(-5.40348179535114, 105.25579682333786)",hampir kadaluarsa,False,False,False,False
D215,['makanan'],3,"(-5.37637328910269, 105.29283305715437)",tidak layak konsumsi,True,True,False,True
D216,"['minuman', 'makanan']",9,"(-5.43408259590487, 105.2352750963189)",hampir kadaluarsa,True,True,True,True
D217,['makanan'],2,"(-5.39728871480263, 105.25993794444443)",tidak layak konsumsi,False,True,True,True
D218,"['makanan', 'minuman']",9,"(-5.41166593379353, 105.30058491602043)",layak konsumsi,True,True,False,False
D219,"['minuman', 'makanan']",1,"(-5.43652503928119, 105.24633191788656)",hampir kadaluarsa,False,True,False,True
D220,"['minuman', 'makanan']",8,"(-5.39203741683127, 105.22188662950587)",hampir kadaluarsa,True,True,False,True
D221,['makanan'],6,"(-5.43340152021761, 105.26706128149578)",layak konsumsi,True,True,False,False
D222,['minuman'],9,"(-5.41041310679143, 105.23437778552079)",layak konsumsi,True,False,True,False
D223,['minuman'],10,"(-5.41659984236496, 105.28801031905458)",tidak layak konsumsi,False,True,False,True
D224,['makanan'],6,"(-5.39734029904424, 105.24524559217976)",tidak layak konsumsi,True,False,True,True
D225,"['makanan', 'minuman']",10,"(-5.39738608761741, 105.27854022256922)",hampir kadaluarsa,True,True,False,False
D226,['makanan'],2,"(-5.38812408116086, 105.25249407539512)",layak konsumsi,True,False,True,True
D227,['minuman'],3,"(-5.42099447044406, 105.26492315485935)",layak konsumsi,False,True,True,False
D228,['minuman'],9,"(-5.43542766012906, 105.2473928484446)",hampir kadaluarsa,False,False,True,False
D229,['makanan'],10,"(-5.40147858487363, 105.22098633343614)",hampir kadaluarsa,False,False,True,True
D230,['makanan'],1,"(-5.41055222953534, 105.28188250891668)",hampir kadaluarsa,False,True,False,True
D231,['makanan'],1,"(-5.40004308259647, 105.24355199635775)",layak konsumsi,False,True,False,True
D232,"['minuman', 'makanan']",5,"(-5.37607728173791, 105.2812132513792)",layak konsumsi,True,True,False,False
D233,['makanan'],1,"(-5.39219172337879, 105.2229865292563)",tidak layak konsumsi,False,True,True,True
D234,['makanan'],4,"(-5.43900182967673, 105.24051808165571)",layak konsumsi,False,True,True,False
D235,['minuman'],8,"(-5.39420582897798, 105.2801801833042)",hampir kadaluarsa,False,False,False,True
D236,"['minuman', 'makanan']",2,"(-5.4103999977853, 105.21231993120428)",tidak layak konsumsi,False,False,False,True
D237,"['minuman', 'makanan']",6,"(-5.38579648609348, 105.24949526401129)",layak konsumsi,False,False,False,True
D238,"['minuman', 'makanan']",3,"(-5.42967673838067, 105.27273285609967)",tidak layak konsumsi,False,False,True,True
D239,"['minuman', 'makanan']",9,"(-5.39574638517493, 105.25957870727048)",hampir kadaluarsa,True,True,False,True
D240,['makanan'],7,"(-5.41852087391692, 105.26352405301908)",hampir kadaluarsa,True,False,False,False
D241,['makanan'],7,"(-5.40596036369788, 105.20927327053643)",hampir kadaluarsa,False,True,True,True
D242,['makanan'],2,"(-5.42765445621418, 105.31063740465089)",tidak layak konsumsi,True,False,True,True
D243,"['makanan', 'minuman']",4,"(-5.38228265285765, 105.2838996052886)",layak konsumsi,False,True,True,True
D244,"['makanan', 'minuman']",10,"(-5.39883896444194, 105.30049151256956)",layak konsumsi,False,True,True,False
D245,"['makanan', 'minuman']",3,"(-5.40423960952308, 105.2571434766199)",tidak layak konsumsi,True,False,False,True
D246,['makanan'],4,"(-5.42783674658174, 105.23486531747866)",hampir kadaluarsa,False,True,True,False
D247,['makanan'],6,"(-5.42807321445356, 105.24093334718638)",layak konsumsi,False,False,True,False
D248,['makanan'],7,"(-5.40751304833338, 105.2697481844015)",tidak layak konsumsi,False,True,False,True
D249,"['minuman', 'makanan']",8,"(-5.37563917953675, 105.22088128644327)",hampir kadaluarsa,False,False,True,False
D250,['minuman'],6,"(-5.37592574942764, 105.22667807988002)",tidak layak konsumsi,True,False,True,True
D251,['minuman'],9,"(-5.37434022512384, 105.27169815868879)",layak konsumsi,True,False,True,False
D252,"['makanan', 'minuman']",1,"(-5.39632163782219, 105.23094391797865)",layak konsumsi,False,False,True,True
D253,['makanan'],6,"(-5.42552028320279, 105.20998486020461)",tidak layak konsumsi,False,True,False,False
D254,['makanan'],6,"(-5.40153358979336, 105.29750827978526)",layak konsumsi,True,False,False,False
D255,"['makanan', 'minuman']",5,"(-5.39219984168747, 105.27333071811825)",layak konsumsi,True,False,False,True
D256,['minuman'],5,"(-5.37675873091115, 105.21444434574519)",layak konsumsi,False,True,True,True
D257,['minuman'],3,"(-5.43195011452477, 105.2482832569721)",hampir kadaluarsa,False,True,True,False
D258,['makanan'],9,"(-5.42365707945414, 105.27686365573395)",layak konsumsi,True,True,False,True
D259,"['minuman', 'makanan']",1,"(-5.37488988811205, 105.22773071359092)",layak konsumsi,False,True,True,False
