id_penyumbang,jumlah_disumbangkan,is_halal_donor,is_for_child_donor,is_for_elderly_donor,is_alergan,id_penerima,jumlah_dibutuhkan,frekuensi_menerima,is_halal_receiver,is_for_child_receiver,is_for_elderly_receiver,is_alergan_free,matching_score,makanan_disumbangkan_makanan,makanan_disumbangkan_makanan_minuman,makanan_disumbangkan_minuman,kondisi_makanan_hampir_kadaluarsa,kondisi_makanan_layak_konsumsi,kondisi_makanan_tidak_layak_konsumsi,makanan_dibutuhkan_makanan,makanan_dibutuhkan_makanan_minuman,makanan_dibutuhkan_minuman,kondisi_makanan_diterima_hampir_kadaluarsa,kondisi_makanan_diterima_layak_konsumsi,kondisi_makanan_diterima_layak_konsumsi_hampir_kadaluarsa,kondisi_makanan_diterima_tidak_layak konsumsi,status_penerima_mendesak,status_penerima_normal,status_penerima_tidak mendesak,jarak
D15,0.5306122448979592,0,0,0,1,T9,0.2857142857142857,1.0,1,1,0,1,0.3318181818181818,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.41051318968108713
D56,0.9591836734693877,0,0,0,0,T83,0.7346938775510204,0.0,0,1,0,1,0.6625,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0.024786861135953273
D42,0.12244897959183673,0,1,1,1,T84,0.7346938775510204,0.1111111111111111,0,0,0,0,0.4189189189189189,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0.21055666390260092
D100,0.12244897959183673,0,1,0,0,T75,0.08163265306122448,0.1111111111111111,0,0,1,1,0.625,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.5080978915731192
D61,0.9183673469387755,1,1,1,0,T26,0.12244897959183673,0.7777777777777778,1,0,0,1,0.6333333333333333,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.5050866251350893
D84,0.12244897959183673,1,1,0,0,T63,0.9183673469387755,0.4444444444444444,1,1,1,1,0.4777173913043478,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.6534467866792248
D78,1.0,0,1,0,0,T11,0.46938775510204084,0.2222222222222222,1,0,1,0,0.39375,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0.45669731802417163
D7,0.4489795918367347,1,1,1,1,T42,0.02040816326530612,0.3333333333333333,1,0,0,0,0.515,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.6325779966459812
D10,0.7755102040816326,1,0,0,0,T44,0.1836734693877551,0.7777777777777778,1,0,0,0,0.6833333333333332,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.262504348681768
D57,0.04081632653061224,0,1,0,0,T26,0.12244897959183673,0.7777777777777778,1,0,0,1,0.4761904761904762,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0.38391033024608257
D82,0.7755102040816326,1,0,0,1,T95,0.4897959183673469,0.6666666666666666,1,1,0,0,0.6593749999999999,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.18607276909799889
D2,0.14285714285714285,1,0,1,0,T79,0.9591836734693877,0.4444444444444444,1,1,0,1,0.7541666666666665,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.29859536186742985
D89,0.42857142857142855,0,1,1,0,T43,0.3673469387755102,0.8888888888888888,1,1,1,1,0.4325,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0.044986132290503814
D96,0.6326530612244898,0,1,1,1,T21,0.6326530612244898,0.2222222222222222,1,1,1,1,0.61875,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0.6005954006564201
D46,0.8163265306122449,0,0,1,1,T17,0.22448979591836735,0.1111111111111111,1,1,1,0,0.425,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.5387532907731388
D53,0.04081632653061224,0,1,1,0,T7,0.673469387755102,0.0,1,1,0,0,0.3213235294117647,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.07725478922723637
D4,0.3469387755102041,1,0,0,0,T70,0.3673469387755102,1.0,1,1,1,1,0.5515550239234449,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0.43507837451325415
D23,0.5306122448979592,1,1,1,0,T38,0.5918367346938775,0.6666666666666666,0,1,0,1,0.674375,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0.2891051390463893
D6,0.8163265306122449,0,1,1,1,T34,0.5510204081632653,0.4444444444444444,1,1,1,1,0.6124999999999999,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.061676047885018556
D15,0.5306122448979592,0,0,0,1,T41,0.16326530612244897,0.5555555555555556,0,0,0,1,0.6857142857142856,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0.6132005047053504
D4,0.3469387755102041,1,0,0,0,T56,0.6122448979591837,0.0,1,0,0,0,0.8455645161290322,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.27230103122648713
D96,0.6326530612244898,0,1,1,1,T31,0.46938775510204084,1.0,1,0,0,0,0.4318181818181819,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.16673371571451592
D84,0.12244897959183673,1,1,0,0,T29,0.04081632653061224,0.2222222222222222,0,0,0,0,0.49375,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0.4200567658646069
D14,0.5510204081632653,0,0,0,0,T83,0.7346938775510204,0.0,0,1,0,1,0.6381756756756757,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0.10522046429966124
D42,0.12244897959183673,0,1,1,1,T99,0.7551020408163265,0.8888888888888888,0,1,0,1,0.450921052631579,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.17688332387992264
D41,0.12244897959183673,0,1,0,0,T10,0.8163265306122449,0.1111111111111111,0,1,0,1,0.7420731707317073,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.2815047061834372
D39,0.6530612244897959,0,1,1,1,T99,0.7551020408163265,0.8888888888888888,0,1,0,1,0.5693421052631579,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.2763455095475685
D69,0.22448979591836735,1,0,1,1,T96,0.6938775510204082,0.4444444444444444,1,0,1,0,0.5217857142857143,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0.3089435087421631
D20,0.8571428571428571,1,1,0,1,T55,0.22448979591836735,0.7777777777777778,1,1,0,1,0.6583333333333332,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.3695972130926435
D34,0.5306122448979592,0,0,1,1,T21,0.6326530612244898,0.2222222222222222,1,1,1,1,0.5031249999999999,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.3424489354841546
D85,0.04081632653061224,0,1,0,0,T44,0.1836734693877551,0.7777777777777778,1,0,0,0,0.4883333333333334,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0.3962977856611402
D60,0.04081632653061224,0,1,1,1,T77,0.7959183673469388,0.8888888888888888,0,1,0,0,0.4649999999999999,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0.22343511145096986
D75,1.0,0,0,0,0,T100,0.5510204081632653,0.2222222222222222,1,1,0,1,0.5437500000000001,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0.9283308785745977
D77,0.5306122448979592,0,1,1,1,T87,0.14285714285714285,0.5555555555555556,0,0,1,0,0.7107142857142856,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0.7785165903929636
D35,0.673469387755102,1,1,1,1,T46,0.9795918367346939,0.4444444444444444,1,1,1,0,0.5568877551020408,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.20000900529405943
D20,0.8571428571428571,1,1,0,1,T71,0.3673469387755102,0.7777777777777778,1,0,1,1,0.3583333333333333,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.5128393703346074
D34,0.5306122448979592,0,0,1,1,T32,0.7142857142857143,1.0,1,1,1,0,0.506818181818182,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0.4730447846909253
D75,1.0,0,0,0,0,T15,0.2857142857142857,1.0,0,1,1,0,0.7568181818181817,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.15456923330780362
D12,0.673469387755102,1,0,1,0,T98,0.12244897959183673,0.5555555555555556,0,1,1,1,0.8357142857142855,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0.3115920109772237
D98,0.40816326530612246,0,1,0,0,T58,0.40816326530612246,0.6666666666666666,0,0,0,0,0.634375,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0.3465257896102695
D65,0.32653061224489793,0,0,1,1,T86,0.6122448979591837,0.4444444444444444,1,0,0,0,0.3923387096774194,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0.17821330391876145
D66,0.4897959183673469,0,0,0,1,T76,0.2857142857142857,0.3333333333333333,1,0,0,1,0.39,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0.6237549935565314
D2,0.14285714285714285,1,0,1,0,T59,0.24489795918367346,0.4444444444444444,1,0,0,0,0.5990384615384615,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0.04323313870665808
D84,0.12244897959183673,1,1,0,0,T9,0.2857142857142857,1.0,1,1,0,1,0.3534848484848485,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.5698571538550135
D32,0.02040816326530612,0,0,1,0,T75,0.08163265306122448,0.1111111111111111,0,0,1,1,0.54,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.27242536408265017
D67,0.2653061224489796,1,0,1,1,T70,0.3673469387755102,1.0,1,1,1,1,0.5305023923444976,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.5331897240644555
D37,0.8367346938775511,0,0,1,1,T57,0.7755102040816326,0.8888888888888888,0,1,1,1,0.4574999999999999,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.47865837977449277
D90,0.14285714285714285,0,0,1,1,T63,0.9183673469387755,0.4444444444444444,1,1,1,1,0.3298913043478261,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.6363162375956211
D27,0.3877551020408163,0,0,1,0,T69,0.8163265306122449,0.2222222222222222,0,1,1,0,0.2675304878048781,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.6123457900427153
D61,0.9183673469387755,1,1,1,0,T66,0.5510204081632653,0.2222222222222222,0,0,0,1,0.59375,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.7814513122563006
D10,0.7755102040816326,1,0,0,0,T26,0.12244897959183673,0.7777777777777778,1,0,0,1,0.7333333333333333,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.22747871351679236
D38,0.24489795918367346,0,1,1,0,T53,0.5714285714285714,1.0,1,0,0,1,0.5266457680250783,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.2408698480181342
D61,0.9183673469387755,1,1,1,0,T33,0.08163265306122448,0.3333333333333333,1,0,1,0,0.565,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.783761389143915
D85,0.04081632653061224,0,1,0,0,T17,0.22448979591836735,0.1111111111111111,1,1,1,0,0.5,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0.33842820306177585
D96,0.6326530612244898,0,1,1,1,T26,0.12244897959183673,0.7777777777777778,1,0,0,1,0.4333333333333333,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.5958175215593462
D65,0.32653061224489793,0,0,1,1,T6,0.5306122448979592,0.8888888888888888,1,0,0,0,0.3454629629629629,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.19006592688901114
D90,0.14285714285714285,0,0,1,1,T10,0.8163265306122449,0.1111111111111111,0,1,0,1,0.4695121951219512,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.4713521422422818
D45,0.7346938775510204,1,0,0,0,T15,0.2857142857142857,1.0,0,1,1,0,0.5568181818181818,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.4213063657003454
D81,0.1836734693877551,1,1,0,1,T48,0.5306122448979592,0.7777777777777778,0,0,0,0,0.3703703703703704,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0.3703618241327615
D85,0.04081632653061224,0,1,0,0,T46,0.9795918367346939,0.4444444444444444,1,1,1,0,0.5686224489795919,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.055383848691239024
D26,0.2857142857142857,0,0,0,1,T14,0.4897959183673469,0.6666666666666666,1,0,0,1,0.444375,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.14021246891477132
D52,0.30612244897959184,1,1,1,0,T61,0.46938775510204084,0.4444444444444444,1,0,0,1,0.6041666666666666,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.07185498077117154
D33,0.2653061224489796,1,0,0,1,T99,0.7551020408163265,0.8888888888888888,0,1,0,1,0.5193421052631579,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0.07006589772542039
D98,0.40816326530612246,0,1,0,0,T31,0.46938775510204084,1.0,1,0,0,0,0.4193181818181818,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.02561035727136582
D25,0.3877551020408163,1,0,1,1,T52,0.9387755102040817,0.5555555555555556,1,1,1,0,0.5282674772036474,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.8405387614611106
D27,0.3877551020408163,0,0,1,0,T11,0.46938775510204084,0.2222222222222222,1,0,1,0,0.6020833333333333,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.8015203505731384
D93,0.673469387755102,0,0,1,0,T73,0.0,0.7777777777777778,0,0,1,1,0.8333333333333331,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.20387932111897245
D97,0.9591836734693877,1,1,0,1,T29,0.04081632653061224,0.2222222222222222,0,0,0,0,0.69375,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.1601519648952946
D3,0.30612244897959184,0,1,0,0,T82,0.9795918367346939,0.7777777777777778,1,0,1,0,0.5159863945578231,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0.2635841122134421
D99,1.0,1,0,0,1,T74,0.5306122448979592,0.3333333333333333,1,0,0,1,0.7649999999999999,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.49231087903601095
D57,0.04081632653061224,0,1,0,0,T12,1.0,0.1111111111111111,1,1,1,0,0.256,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0.30134423109624625
D94,0.7959183673469388,0,1,1,1,T91,0.5102040816326531,0.5555555555555556,1,1,0,1,0.4607142857142857,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0.40979369132895826
D39,0.6530612244897959,0,1,1,1,T92,0.7551020408163265,0.2222222222222222,1,0,1,1,0.1055921052631579,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0.7103168133629346
D85,0.04081632653061224,0,1,0,0,T98,0.12244897959183673,0.5555555555555556,0,1,1,1,0.6285714285714286,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.539903687501908
D42,0.12244897959183673,0,1,1,1,T10,0.8163265306122449,0.1111111111111111,0,1,0,1,0.5420731707317074,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0.1424755356913345
D77,0.5306122448979592,0,1,1,1,T79,0.9591836734693877,0.4444444444444444,1,1,0,1,0.51875,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.15805265192971638
D4,0.3469387755102041,1,0,0,0,T85,0.3673469387755102,0.5555555555555556,1,0,1,1,0.8304511278195488,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0.13132976210838895
D100,0.12244897959183673,0,1,0,0,T67,0.8367346938775511,0.6666666666666666,0,0,0,0,0.6010416666666667,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.4874821507148622
D93,0.673469387755102,0,0,1,0,T75,0.08163265306122448,0.1111111111111111,0,0,1,1,0.525,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.537262655303294
D45,0.7346938775510204,1,0,0,0,T68,0.8163265306122449,0.2222222222222222,1,1,1,0,0.4839939024390244,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0.2877358454910525
D100,0.12244897959183673,0,1,0,0,T4,0.2857142857142857,0.4444444444444444,0,1,0,0,0.8091666666666666,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.5569490478749731
D75,1.0,0,0,0,0,T99,0.7551020408163265,0.8888888888888888,0,1,0,1,0.7574999999999998,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.712052471836184
D90,0.14285714285714285,0,0,1,1,T44,0.1836734693877551,0.7777777777777778,1,0,0,0,0.6133333333333333,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.09518417688985209
D79,0.30612244897959184,0,1,0,1,T75,0.08163265306122448,0.1111111111111111,0,0,1,1,0.325,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0.4643822361004712
D7,0.4489795918367347,1,1,1,1,T24,0.02040816326530612,0.2222222222222222,1,0,0,0,0.5687500000000001,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.548289242168209
D25,0.3877551020408163,1,0,1,1,T80,0.673469387755102,0.8888888888888888,0,0,1,1,0.5163235294117647,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0.8123697816704353
D69,0.22448979591836735,1,0,1,1,T43,0.3673469387755102,0.8888888888888888,1,1,1,1,0.3206578947368421,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0.4475967526651618
D60,0.04081632653061224,0,1,1,1,T22,0.8163265306122449,0.6666666666666666,1,0,1,1,0.4666920731707317,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0.30054860906058034
D19,0.16326530612244897,1,0,1,0,T77,0.7959183673469388,0.8888888888888888,0,1,0,0,0.4049999999999999,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0.5402241508002085
D81,0.1836734693877551,1,1,0,1,T63,0.9183673469387755,0.4444444444444444,1,1,1,1,0.4592391304347826,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0.41737338176740457
D85,0.04081632653061224,0,1,0,0,T83,0.7346938775510204,0.0,0,1,0,1,0.6706081081081081,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0.2782191328292022
D7,0.4489795918367347,1,1,1,1,T81,0.4897959183673469,0.0,0,1,0,1,0.5545,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.3076533321741048
D38,0.24489795918367346,0,1,1,0,T51,0.7142857142857143,0.5555555555555556,0,0,1,1,0.5718253968253968,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.22200585537424747
D65,0.32653061224489793,0,0,1,1,T33,0.08163265306122448,0.3333333333333333,1,0,1,0,0.49,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.24392626551165966
D25,0.3877551020408163,1,0,1,1,T74,0.5306122448979592,0.3333333333333333,1,0,0,1,0.639074074074074,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0.3220801690082892
D87,0.9795918367346939,1,1,1,0,T7,0.673469387755102,0.0,1,1,0,0,0.7124999999999999,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0.19946727851558865
D83,0.8163265306122449,0,1,1,0,T27,0.02040816326530612,0.7777777777777778,0,1,0,1,0.3583333333333334,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.4634109411797503
D39,0.6530612244897959,0,1,1,1,T88,0.7755102040816326,0.3333333333333333,1,1,0,0,0.5746153846153845,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0.3946182098757005
D22,0.8979591836734694,0,0,0,0,T95,0.4897959183673469,0.6666666666666666,1,1,0,0,0.6343749999999999,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.31068559436537013
D11,0.08163265306122448,1,1,0,0,T59,0.24489795918367346,0.4444444444444444,1,0,0,0,0.5759615384615384,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0.08685751229450898
D6,0.8163265306122449,0,1,1,1,T46,0.9795918367346939,0.4444444444444444,1,1,1,0,0.4711734693877551,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.4588587844456581
D92,0.8367346938775511,1,0,0,1,T54,0.02040816326530612,1.0,0,1,0,1,0.5818181818181818,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0.401401712860019
D67,0.2653061224489796,1,0,1,1,T27,0.02040816326530612,0.7777777777777778,0,1,0,1,0.3333333333333333,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.2692234825044465
D40,0.673469387755102,0,1,0,1,T56,0.6122448979591837,0.0,1,0,0,0,0.4875,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.3174833381664651
D26,0.2857142857142857,0,0,0,1,T8,0.4897959183673469,0.6666666666666666,1,0,1,1,0.319375,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0.5522550602929108
D17,0.16326530612244897,1,1,0,0,T41,0.16326530612244897,0.5555555555555556,0,0,0,1,0.6357142857142856,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.2929203876865589
D90,0.14285714285714285,0,0,1,1,T38,0.5918367346938775,0.6666666666666666,0,1,0,1,0.6610416666666666,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.08431208428439559
D44,0.6122448979591837,0,1,0,0,T59,0.24489795918367346,0.4444444444444444,1,0,0,0,0.5375,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0.16246774157125107
D90,0.14285714285714285,0,0,1,1,T2,0.3877551020408163,0.8888888888888888,1,1,1,0,0.3975,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.29006737415274464
D100,0.12244897959183673,0,1,0,0,T24,0.02040816326530612,0.2222222222222222,1,0,0,0,0.34375,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0.5322440829272832
D77,0.5306122448979592,0,1,1,1,T9,0.2857142857142857,1.0,1,1,0,1,0.2568181818181818,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.46928992950775406
D100,0.12244897959183673,0,1,0,0,T53,0.5714285714285714,1.0,1,0,0,1,0.6059561128526646,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.37134925611330016
D71,0.40816326530612246,0,1,0,0,T29,0.04081632653061224,0.2222222222222222,0,0,0,0,0.61875,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.5770832406997479
D63,0.9183673469387755,0,0,1,1,T19,0.3673469387755102,0.6666666666666666,1,0,1,1,0.609375,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.42158446473130495
D39,0.6530612244897959,0,1,1,1,T74,0.5306122448979592,0.3333333333333333,1,0,0,1,0.49,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0.17467817306758252
D99,1.0,1,0,0,1,T15,0.2857142857142857,1.0,0,1,1,0,0.6318181818181817,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.3351522657904416
D46,0.8163265306122449,0,0,1,1,T48,0.5306122448979592,0.7777777777777778,0,0,0,0,0.4583333333333333,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0.6393615640732369
D94,0.7959183673469388,0,1,1,1,T81,0.4897959183673469,0.0,0,1,0,1,0.4625,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0.19845926406112613
D13,0.32653061224489793,0,0,1,1,T20,0.7346938775510204,0.3333333333333333,0,1,1,1,0.485945945945946,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.4230798470404217
D16,0.32653061224489793,0,1,0,1,T13,0.5306122448979592,0.4444444444444444,0,1,0,0,0.3754629629629629,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0.5009635446597948
D34,0.5306122448979592,0,0,1,1,T93,0.22448979591836735,0.1111111111111111,1,0,0,1,0.6499999999999999,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.25372707969245056
D6,0.8163265306122449,0,1,1,1,T28,0.7346938775510204,1.0,1,1,1,1,0.7318181818181817,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.2336730032039727
D68,0.40816326530612246,0,0,1,0,T100,0.5510204081632653,0.2222222222222222,1,1,0,1,0.6687500000000001,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0.234121339435243
D44,0.6122448979591837,0,1,0,0,T84,0.7346938775510204,0.1111111111111111,0,0,0,0,0.4837837837837838,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0.41770532816153905
D9,0.5306122448979592,0,0,0,1,T75,0.08163265306122448,0.1111111111111111,0,0,1,1,0.425,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.8548653393046476
D61,0.9183673469387755,1,1,1,0,T46,0.9795918367346939,0.4444444444444444,1,1,1,0,0.756377551020408,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.3912036767546062
